success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,stimulus_displayed,question_order
NA,html-keyboard-response,40,250171,0.0-18.0-6.0-0.16,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,41,253071,0.0-18.0-6.0-1.16,SS1651686913194,2394.5,NA,NA,trial,NA,40,500,2894.5,null,null,self_paced,0,NA,images/stimuli/complex_06_A_a.gif,NA
NA,html-keyboard-response,42,254274,0.0-18.0-6.0-0.17,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,43,258610,0.0-18.0-6.0-1.17,SS1651686913194,3830,NA,NA,trial,NA,40,500,4330,null,null,self_paced,0,NA,images/stimuli/simple_15_A_a.gif,NA
NA,html-keyboard-response,44,259707,0.0-18.0-6.0-0.18,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,45,262674,0.0-18.0-6.0-1.18,SS1651686913194,2459.899999976158,NA,NA,trial,NA,40,500,2959.899999976158,null,null,self_paced,0,NA,images/stimuli/simple_07_A_a.gif,NA
NA,html-keyboard-response,46,263736,0.0-18.0-6.0-0.19,SS1651686913194,null,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA
NA,stimuli-presentation,47,264395,0.0-18.0-6.0-1.19,SS1651686913194,152.69999998807907,NA,NA,trial,NA,40,500,652.6999999880791,null,null,self_paced,0,NA,images/stimuli/simple_16_A_a.gif,NA
NA,instructions,48,278509,0.0-18.0-7.0,SS1651686913194,14110.599999964237,NA,"[{""page_index"":0,""viewing_time"":14110}]",instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,survey-likert,49,281959,0.0-18.0-8.0-0.0,SS1651686913194,3440.599999964237,"{""Q0"":4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_12_A_a.gif,NA,[0]
NA,survey-likert,50,287275,0.0-18.0-8.0-0.1,SS1651686913194,5302.399999976158,"{""Q0"":5}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_06_A_a.gif,NA,[0]
NA,survey-likert,51,289772,0.0-18.0-8.0-0.2,SS1651686913194,2484.5,"{""Q0"":2}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_11_A_a.gif,NA,[0]
NA,survey-likert,52,292902,0.0-18.0-8.0-0.3,SS1651686913194,3120.199999988079,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_03_A_a.gif,NA,[0]
NA,survey-likert,53,299426,0.0-18.0-8.0-0.4,SS1651686913194,6511.100000023842,"{""Q0"":2}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_09_A_a.gif,NA,[0]
NA,survey-likert,54,303688,0.0-18.0-8.0-0.5,SS1651686913194,4248.199999988079,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_10_A_a.gif,NA,[0]
NA,survey-likert,55,308186,0.0-18.0-8.0-0.6,SS1651686913194,4484.199999988079,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_21_A_a.gif,NA,[0]
NA,survey-likert,56,313575,0.0-18.0-8.0-0.7,SS1651686913194,5375.599999964237,"{""Q0"":3}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_04_A_a.gif,NA,[0]
NA,survey-likert,57,317840,0.0-18.0-8.0-0.8,SS1651686913194,4251.299999952316,"{""Q0"":2}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_16_A_a.gif,NA,[0]
NA,survey-likert,58,325787,0.0-18.0-8.0-0.9,SS1651686913194,7933.699999988079,"{""Q0"":4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_19_A_a.gif,NA,[0]
NA,survey-likert,59,335728,0.0-18.0-8.0-0.10,SS1651686913194,9930.699999988079,"{""Q0"":3}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_14_A_a.gif,NA,[0]
NA,survey-likert,60,341397,0.0-18.0-8.0-0.11,SS1651686913194,5655.199999988079,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_07_A_a.gif,NA,[0]
NA,survey-likert,61,343523,0.0-18.0-8.0-0.12,SS1651686913194,2112.300000011921,"{""Q0"":2}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_17_A_a.gif,NA,[0]
NA,survey-likert,62,516359,0.0-18.0-8.0-0.13,SS1651686913194,172816.39999997616,"{""Q0"":4}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_04_A_a.gif,NA,[0]
NA,survey-likert,63,519855,0.0-18.0-8.0-0.14,SS1651686913194,3482,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_17_A_a.gif,NA,[0]
NA,survey-likert,64,524176,0.0-18.0-8.0-0.15,SS1651686913194,4308.099999964237,"{""Q0"":3}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/complex_03_A_a.gif,NA,[0]
NA,survey-likert,65,527336,0.0-18.0-8.0-0.16,SS1651686913194,3146.400000035763,"{""Q0"":1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,images/stimuli/simple_15_A_a.gif,NA,[0]
