rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,subject,success,view_history,stimulus_type,trial_stimulus,key_press,minimum_viewing_duration,trial_looking_time,block_deviant,block_background,exposure_type,forced_exposure_time,stimulus,block_number,block_type,stimulus_displayed,question_order,question_stimuli,block_index,stimulus_left,stimulus_right,math_correct_answer
1517.7999999523163,NA,stimuli-presentation,61,128501,0.0-16.0-1.0,SS1630642817043,NA,NA,trial,NA,40,500,2017.7999999523163,images/stimuli/simple_10_A_a.gif,images/stimuli/simple_14_A_a.gif,self_paced,550,NA,4,simple_dissimilar,images/stimuli/simple_14_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,62,129555,0.0-16.0-0.1,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
487,NA,stimuli-presentation,63,130549,0.0-16.0-1.1,SS1630642817043,NA,NA,trial,NA,40,500,987,images/stimuli/simple_10_A_a.gif,images/stimuli/simple_14_A_a.gif,self_paced,550,NA,4,simple_dissimilar,images/stimuli/simple_10_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,64,131766,0.0-16.0-0.2,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
74.39999997615814,NA,stimuli-presentation,65,132346,0.0-16.0-1.2,SS1630642817043,NA,NA,trial,NA,40,500,574.3999999761581,images/stimuli/simple_10_A_a.gif,images/stimuli/simple_14_A_a.gif,self_paced,550,NA,4,simple_dissimilar,images/stimuli/simple_14_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,66,133407,0.0-16.0-0.3,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
903.3999999761581,NA,stimuli-presentation,67,134820,0.0-16.0-1.3,SS1630642817043,NA,NA,trial,NA,40,500,1403.3999999761581,images/stimuli/simple_10_A_a.gif,images/stimuli/simple_14_A_a.gif,self_paced,550,NA,4,simple_dissimilar,images/stimuli/simple_14_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,68,136026,0.0-16.0-0.4,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
188.39999997615814,NA,stimuli-presentation,69,136721,0.0-16.0-1.4,SS1630642817043,NA,NA,trial,NA,40,500,688.3999999761581,images/stimuli/simple_10_A_a.gif,images/stimuli/simple_14_A_a.gif,self_paced,550,NA,4,simple_dissimilar,images/stimuli/simple_14_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,70,137877,0.0-16.0-0.5,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
123.80000007152557,NA,stimuli-presentation,71,138507,0.0-16.0-1.5,SS1630642817043,NA,NA,trial,NA,40,500,623.8000000715256,images/stimuli/simple_10_A_a.gif,images/stimuli/simple_14_A_a.gif,self_paced,550,NA,4,simple_dissimilar,images/stimuli/simple_14_A_a.gif,NA,NA,NA,NA,NA,NA
3317.399999976158,"{""Q0"":1}",survey-likert,72,141828,0.0-17.0,SS1630642817043,NA,NA,curiousity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0],images/stimuli/simple_20_A_a.gif,4,NA,NA,NA
null,NA,html-keyboard-response,73,143118,0.0-18.0-0.0,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
879.2000000476837,NA,stimuli-presentation,74,144504,0.0-18.0-1.0,SS1630642817043,NA,NA,trial,NA,40,500,1379.2000000476837,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_03_A_a.gif,self_paced,870,NA,5,complex_dissimilar,images/stimuli/complex_03_A_a.gif,NA,NA,NA,NA,NA,NA
null,NA,html-keyboard-response,75,145776,0.0-18.0-0.1,SS1630642817043,NA,NA,NA,NA,null,NA,NA,NA,NA,NA,NA,"<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">",NA,NA,NA,NA,NA,NA,NA,NA,NA
434.10000002384186,NA,stimuli-presentation,76,146715,0.0-18.0-1.1,SS1630642817043,NA,NA,trial,NA,40,500,934.1000000238419,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_03_A_a.gif,self_paced,870,NA,5,complex_dissimilar,images/stimuli/complex_05_A_a.gif,NA,NA,NA,NA,NA,NA
