prolific_id,total_rt,block_type,background_stimulus,deviant_stimulus,background_type,deviant_type,violation_type,total_trial_number,trial_number,block_number,animacy,number,pose,trial_type,background_id,background_animacy,background_pose,background_number,deviant_id,deviant_animacy,deviant_pose,deviant_number,same_animacy,same_number,same_pose,same_id
65263de10f1e7475f5b1fc21,1262,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_010_left.png,inanimate_pair_left,animate_pair_left,animacy,6,3,6,inanimate,pair,left,background,010,inanimate,left,pair,010,animate,left,pair,FALSE,TRUE,TRUE,TRUE
605da94ba47f45380a1c7d57,1447,background_block,media/padded_stims/inanimate_012_left.png,,inanimate_pair_left,,background,4,2,7,inanimate,pair,left,background,012,inanimate,left,pair,NA,animate,right,single,FALSE,FALSE,FALSE,NA
65263de10f1e7475f5b1fc21,1000,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_010_left.png,inanimate_pair_left,animate_pair_left,animacy,6,4,6,inanimate,pair,left,background,010,inanimate,left,pair,010,animate,left,pair,FALSE,TRUE,TRUE,TRUE
605da94ba47f45380a1c7d57,1631,background_block,media/padded_stims/inanimate_012_left.png,,inanimate_pair_left,,background,4,3,7,inanimate,pair,left,background,012,inanimate,left,pair,NA,animate,right,single,FALSE,FALSE,FALSE,NA
5b19a8072767e20001e4eaaf,3642,deviant_block,media/padded_stims/animate_012_left.png,media/padded_stims/animate_012_left.png,animate_pair_left,animate_single_left,number,4,2,2,animate,pair,left,background,012,animate,left,pair,012,animate,left,single,TRUE,FALSE,TRUE,TRUE
65263de10f1e7475f5b1fc21,1000,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_010_left.png,inanimate_pair_left,animate_pair_left,animacy,6,5,6,inanimate,pair,left,background,010,inanimate,left,pair,010,animate,left,pair,FALSE,TRUE,TRUE,TRUE
6595be0e8ac3f1327fec5bf8,5045,deviant_block,media/padded_stims/inanimate_004_left.png,media/padded_stims/animate_002_left.png,inanimate_pair_left,animate_pair_left,animacy,2,2,5,inanimate,pair,left,deviant,004,inanimate,left,pair,002,animate,left,pair,FALSE,TRUE,TRUE,FALSE
605da94ba47f45380a1c7d57,1710,background_block,media/padded_stims/inanimate_012_left.png,,inanimate_pair_left,,background,4,4,7,inanimate,pair,left,background,012,inanimate,left,pair,NA,animate,right,single,FALSE,FALSE,FALSE,NA
65263de10f1e7475f5b1fc21,2067,deviant_block,media/padded_stims/inanimate_010_left.png,media/padded_stims/animate_010_left.png,inanimate_pair_left,animate_pair_left,animacy,6,6,6,inanimate,pair,left,deviant,010,inanimate,left,pair,010,animate,left,pair,FALSE,TRUE,TRUE,TRUE
5b19a8072767e20001e4eaaf,2989,deviant_block,media/padded_stims/animate_012_left.png,media/padded_stims/animate_012_left.png,animate_pair_left,animate_single_left,number,4,3,2,animate,pair,left,background,012,animate,left,pair,012,animate,left,single,TRUE,FALSE,TRUE,TRUE
