"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","rt","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","responses","question_order","memory_question_stimuli","memory_block_index","stimulus","block_number","block_type","stimulus_displayed","stimulus_left","stimulus_right"
"","survey-likert","136","649319","0.0-36.0","SS1627326983998","","23227","similarity_question","","","","","","","","","{""Q0"":3}","[0]","","","","","","","images/stimuli/complex_12_A_b.gif","images/stimuli/complex_11_A_b.gif"
"","survey-likert","137","661705","0.0-37.0","SS1627326983998","","12380.300000011921","similarity_question","","","","","","","","","{""Q0"":2}","[0]","","","","","","","images/stimuli/complex_03_A_b.gif","images/stimuli/complex_14_A_a.gif"
"","survey-likert","138","671389","0.0-38.0","SS1627326983998","","9677.399999976158","similarity_question","","","","","","","","","{""Q0"":4}","[0]","","","","","","","images/stimuli/complex_16_A_a.gif","images/stimuli/complex_21_A_a.gif"
"","survey-likert","139","677238","0.0-39.0","SS1627326983998","","5843.5","similarity_question","","","","","","","","","{""Q0"":3}","[0]","","","","","","","images/stimuli/complex_22_A_b.gif","images/stimuli/complex_20_A_a.gif"
"","survey-likert","140","683157","0.0-40.0","SS1627326983998","","5909.600000023842","similarity_question","","","","","","","","","{""Q0"":4}","[0]","","","","","","","images/stimuli/complex_15_A_a.gif","images/stimuli/complex_17_A_a.gif"
"","survey-likert","141","689573","0.0-41.0","SS1627326983998","","6408.600000023842","similarity_question","","","","","","","","","{""Q0"":3}","[0]","","","","","","","images/stimuli/complex_23_A_a.gif","images/stimuli/complex_07_A_a.gif"
"","survey-likert","142","697330","0.0-42.0","SS1627326983998","","7757.600000023842","similarity_question","","","","","","","","","{""Q0"":4}","[0]","","","","","","","images/stimuli/complex_08_A_b.gif","images/stimuli/complex_02_A_b.gif"
"","survey-likert","143","704915","0.0-43.0","SS1627326983998","","7577.900000035763","similarity_question","","","","","","","","","{""Q0"":5}","[0]","","","","","","","images/stimuli/complex_01_A_a.gif","images/stimuli/complex_05_A_b.gif"
"","instructions","144","708592","0.0-44.0","SS1627326983998","[{""page_index"":0,""viewing_time"":3672.5}]","3673.5","instructions","","","","","","","","","","","","","","","","","",""
"","survey-likert","145","713368","0.0-45.0","SS1627326983998","","4770.800000011921","","","","","","","","","","{""Q0"":4}","[0]","","","images/stimuli/complex_05_A_b.gif","","","","",""
"","survey-likert","146","717785","0.0-46.0","SS1627326983998","","4411.599999964237","","","","","","","","","","{""Q0"":4}","[0]","","","images/stimuli/complex_15_A_a.gif","","","","",""
"","survey-likert","147","720766","0.0-47.0","SS1627326983998","","2975.2999999523163","","","","","","","","","","{""Q0"":5}","[0]","","","images/stimuli/complex_23_A_a.gif","","","","",""
"","survey-likert","148","724217","0.0-48.0","SS1627326983998","","3445.800000011921","","","","","","","","","","{""Q0"":4}","[0]","","","images/stimuli/complex_03_A_b.gif","","","","",""
"","survey-likert","149","727443","0.0-49.0","SS1627326983998","","3219.800000011921","","","","","","","","","","{""Q0"":5}","[0]","","","images/stimuli/complex_08_A_b.gif","","","","",""
"","survey-likert","150","730053","0.0-50.0","SS1627326983998","","2604.199999988079","","","","","","","","","","{""Q0"":5}","[0]","","","images/stimuli/complex_21_A_a.gif","","","","",""
"","survey-likert","151","735167","0.0-51.0","SS1627326983998","","5108.800000011921","","","","","","","","","","{""Q0"":4}","[0]","","","images/stimuli/complex_11_A_b.gif","","","","",""
"","survey-likert","152","738564","0.0-52.0","SS1627326983998","","3390.800000011921","","","","","","","","","","{""Q0"":4}","[0]","","","images/stimuli/complex_22_A_b.gif","","","","",""
"true","fullscreen","153","739582","0.0-53.0","SS1627326983998","","","","","","","","","","","","","","","","","","","","",""
"","instructions","154","742476","0.0-54.0","SS1627326983998","[{""page_index"":0,""viewing_time"":2889.699999988079}]","2890.2999999523163","instructions","","","","","","","","","","","","","","","","","",""
"","demog-age","155","748344","0.0-55.0","SS1627326983998","","5861.699999988079","","","","","","","","","","{""age"":""23""}","","","","","","","","",""
"","demog-ethnic-US","156","751759","0.0-56.0","SS1627326983998","","3400.099999964237","","","","","","","","","","{""ethnicity"":[""Hispanic or Latino""]}","[0]","","","","","","","",""
"","demog-gender-and-education","157","759502","0.0-57.0","SS1627326983998","","7728.400000035763","","","","","","","","","","{""gender"":""Non-binary"",""education"":""Associate Degree/Technical certification""}","[0,1]","","","","","","","",""
"","survey-text","158","772516","0.0-58.0","SS1627326983998","","13006.5","feedback","","","","","","","","","{""Q0"":""no issues""}","","","","","","","","",""
"","instructions","159","774393","0.0-59.0","SS1627326983998","[{""page_index"":0,""viewing_time"":1871.0999999642372}]","1871.800000011921","instructions","","","","","","","","","","","","","","","","","",""
