"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","155.86999990046024","sequential-stimulus-presentation","81","155007","0.0-20.0-1.0","SS1613079990976","trial","","40","800","955.8699999004602","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","right","","","","",""
"","null","html-keyboard-response","82","156282","0.0-20.0-0.1","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","827.080000191927","sequential-stimulus-presentation","83","157917","0.0-20.0-1.1","SS1613079990976","trial","","40","800","1627.080000191927","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","right","","","","",""
"","null","html-keyboard-response","84","158976","0.0-20.0-0.2","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","624.6400000527501","sequential-stimulus-presentation","85","160407","0.0-20.0-1.2","SS1613079990976","trial","","40","800","1424.64000005275","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","right","","","","",""
"","null","html-keyboard-response","86","161561","0.0-20.0-0.3","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","708.5549999028444","sequential-stimulus-presentation","87","163077","0.0-20.0-1.3","SS1613079990976","trial","","40","800","1508.5549999028444","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","right","","","","",""
"","null","html-keyboard-response","88","164048","0.0-20.0-0.4","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1145.2549998648465","sequential-stimulus-presentation","89","166005","0.0-20.0-1.4","SS1613079990976","trial","","40","800","1945.2549998648465","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","right","","","","",""
"","null","html-keyboard-response","90","167247","0.0-20.0-0.5","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","128.37499985471368","sequential-stimulus-presentation","91","168184","0.0-20.0-1.5","SS1613079990976","trial","","40","800","928.3749998547137","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","right","","","","",""
"","null","html-keyboard-response","92","169464","0.0-20.0-0.6","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1151.5199998393655","sequential-stimulus-presentation","93","171440","0.0-20.0-1.6","SS1613079990976","trial","","40","800","1951.5199998393655","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_20_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","94","172365","0.0-20.0-0.7","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2396.2249998003244","sequential-stimulus-presentation","95","175568","0.0-20.0-1.7","SS1613079990976","trial","","40","800","3196.2249998003244","images/stimuli/spore_stims/complex_20_B_c.gif","images/stimuli/spore_stims/complex_19_A_a.gif","","","","","4","complex_dissimilar","images/stimuli/spore_stims/complex_19_A_a.gif","right","","","","",""
"","798.5600000247359","html-keyboard-response","96","176371","0.0-21.0","SS1613079990976","pref_question","","50","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","4","","","","","","","",""
