"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"","405.9300000080839","sequential-stimulus-presentation","85","124183","0.0-20.0-1.2","SS1613099237624","trial","","40","800","1205.9300000080839","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_A_b.gif","middle",""
"","null","html-keyboard-response","86","125035","0.0-20.0-0.3","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","625.3399999986868","sequential-stimulus-presentation","87","126515","0.0-20.0-1.3","SS1613099237624","trial","","40","800","1425.3399999986868","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_A_b.gif","middle",""
"","null","html-keyboard-response","88","127777","0.0-20.0-0.4","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","745.7049999793526","sequential-stimulus-presentation","89","129334","0.0-20.0-1.4","SS1613099237624","trial","","40","800","1545.7049999793526","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_B_b.gif","left",""
"","null","html-keyboard-response","90","130172","0.0-20.0-0.5","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","1308.9900000195485","sequential-stimulus-presentation","91","132297","0.0-20.0-1.5","SS1613099237624","trial","","40","800","2108.9900000195485","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_A_b.gif","middle",""
"","null","html-keyboard-response","92","133212","0.0-20.0-0.6","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","5273.905000009108","sequential-stimulus-presentation","93","139305","0.0-20.0-1.6","SS1613099237624","trial","","40","800","6073.905000009108","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_A_b.gif","middle",""
"","null","html-keyboard-response","94","140404","0.0-20.0-0.7","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","599.225000012666","sequential-stimulus-presentation","95","141825","0.0-20.0-1.7","SS1613099237624","trial","","40","800","1399.225000012666","images/stimuli/spore_stims/simple_08_B_b.gif","images/stimuli/spore_stims/simple_08_A_b.gif","","","","","4","simple_similar","images/stimuli/spore_stims/simple_08_A_b.gif","middle",""
