"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","4851.150000002235","similarity_question","survey-likert","376","1089262","0.0-70.0","SS1611976444667","","","","","","","","","","","","{""Q0"":6}","[0]","images/stimuli/spore_stims/simple_16_B_a.gif","images/stimuli/spore_stims/simple_16_A_a.gif"
"","7497.19499994535","similarity_question","survey-likert","377","1096867","0.0-71.0","SS1611976444667","","","","","","","","","","","","{""Q0"":3}","[0]","images/stimuli/spore_stims/simple_09_A_c.gif","images/stimuli/spore_stims/simple_15_A_d.gif"
"","3909.7799999872223","similarity_question","survey-likert","378","1100870","0.0-72.0","SS1611976444667","","","","","","","","","","","","{""Q0"":3}","[0]","images/stimuli/spore_stims/simple_15_B_a.gif","images/stimuli/spore_stims/simple_18_A_b.gif"
"","3929.824999999255","similarity_question","survey-likert","379","1104906","0.0-73.0","SS1611976444667","","","","","","","","","","","","{""Q0"":2}","[0]","images/stimuli/spore_stims/complex_13_A_c.gif","images/stimuli/spore_stims/complex_03_A_d.gif"
"","5355.924999923445","similarity_question","survey-likert","380","1110367","0.0-74.0","SS1611976444667","","","","","","","","","","","","{""Q0"":1}","[0]","images/stimuli/spore_stims/complex_05_A_c.gif","images/stimuli/spore_stims/complex_10_A_d.gif"
"","4312.885000021197","similarity_question","survey-likert","381","1114783","0.0-75.0","SS1611976444667","","","","","","","","","","","","{""Q0"":6}","[0]","images/stimuli/spore_stims/complex_10_B_d.gif","images/stimuli/spore_stims/complex_10_A_d.gif"
"","7342.185000074096","similarity_question","survey-likert","382","1122225","0.0-76.0","SS1611976444667","","","","","","","","","","","","{""Q0"":5}","[0]","images/stimuli/spore_stims/simple_12_B_d.gif","images/stimuli/spore_stims/simple_07_A_d.gif"
"","5550.120000028983","similarity_question","survey-likert","383","1127878","0.0-77.0","SS1611976444667","","","","","","","","","","","","{""Q0"":1}","[0]","images/stimuli/spore_stims/complex_13_B_d.gif","images/stimuli/spore_stims/complex_07_B_d.gif"
"","5636.960000032559","similarity_question","survey-likert","384","1133615","0.0-78.0","SS1611976444667","","","","","","","","","","","","{""Q0"":5}","[0]","images/stimuli/spore_stims/complex_11_A_b.gif","images/stimuli/spore_stims/complex_11_B_b.gif"
"","3318.3149999240413","similarity_question","survey-likert","385","1137039","0.0-79.0","SS1611976444667","","","","","","","","","","","","{""Q0"":4}","[0]","images/stimuli/spore_stims/simple_10_A_a.gif","images/stimuli/spore_stims/simple_08_A_c.gif"
"","13310.430000070482","similarity_question","survey-likert","386","1150454","0.0-80.0","SS1611976444667","","","","","","","","","","","","{""Q0"":5}","[0]","images/stimuli/spore_stims/simple_20_A_b.gif","images/stimuli/spore_stims/simple_20_B_b.gif"
"","3678.8799999048933","similarity_question","survey-likert","387","1154239","0.0-81.0","SS1611976444667","","","","","","","","","","","","{""Q0"":5}","[0]","images/stimuli/spore_stims/simple_17_B_c.gif","images/stimuli/spore_stims/simple_17_A_c.gif"
"","4624.17500000447","similarity_question","survey-likert","388","1158970","0.0-82.0","SS1611976444667","","","","","","","","","","","","{""Q0"":5}","[0]","images/stimuli/spore_stims/complex_01_A_b.gif","images/stimuli/spore_stims/complex_01_B_b.gif"
"","5675.904999952763","similarity_question","survey-likert","389","1164748","0.0-83.0","SS1611976444667","","","","","","","","","","","","{""Q0"":1}","[0]","images/stimuli/spore_stims/complex_17_A_a.gif","images/stimuli/spore_stims/complex_18_A_b.gif"
"","4843.020000029355","similarity_question","survey-likert","390","1169695","0.0-84.0","SS1611976444667","","","","","","","","","","","","{""Q0"":3}","[0]","images/stimuli/spore_stims/simple_03_B_d.gif","images/stimuli/spore_stims/simple_03_A_d.gif"
"","4409.459999995306","similarity_question","survey-likert","391","1174226","0.0-85.0","SS1611976444667","","","","","","","","","","","","{""Q0"":4}","[0]","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_20_B_a.gif"
"","23921.32500000298","similarity_question","survey-likert","392","1198253","0.0-86.0","SS1611976444667","","","","","","","","","","","","{""Q0"":4}","[0]","images/stimuli/spore_stims/simple_11_A_c.gif","images/stimuli/spore_stims/simple_11_B_c.gif"
"","14949.7599999886","similarity_question","survey-likert","393","1213310","0.0-87.0","SS1611976444667","","","","","","","","","","","","{""Q0"":1}","[0]","images/stimuli/spore_stims/complex_18_B_c.gif","images/stimuli/spore_stims/complex_12_A_d.gif"
"[{""page_index"":0,""viewing_time"":5035.77000007499}]","5036.345000029542","instructions","instructions","394","1218454","0.0-88.0","SS1611976444667","","","","","","","","","","","","","","",""
"","8932.150000007823","","survey-likert","395","1227492","0.0-89.0","SS1611976444667","","","","","images/stimuli/spore_stims/simple_03_A_d.gif","","","","","","","{""Q0"":1}","[0]","",""
