"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"","null","","html-keyboard-response","303","495587","0.0-55.0-0.0","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","393.7700000824407","trial","sequential-stimulus-presentation","304","496946","0.0-55.0-1.0","SS1611940976610","","40","900","1293.7700000824407","","","","16","images/stimuli/spore_stims/complex_18_A_c.gif","middle",""
"","null","","html-keyboard-response","305","498201","0.0-55.0-0.1","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1311.0500000184402","trial","sequential-stimulus-presentation","306","500480","0.0-55.0-1.1","SS1611940976610","","40","900","2211.05000001844","","","","16","images/stimuli/spore_stims/complex_18_A_c.gif","middle",""
"","null","","html-keyboard-response","307","501710","0.0-55.0-0.2","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","365.4550000792369","trial","sequential-stimulus-presentation","308","503038","0.0-55.0-1.2","SS1611940976610","","40","900","1265.455000079237","","","","16","images/stimuli/spore_stims/complex_18_A_c.gif","middle",""
"","null","","html-keyboard-response","309","504081","0.0-55.0-0.3","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1124.420000007376","trial","sequential-stimulus-presentation","310","506169","0.0-55.0-1.3","SS1611940976610","","40","900","2024.420000007376","","","","16","images/stimuli/spore_stims/complex_18_B_c.gif","left",""
"","null","","html-keyboard-response","311","507313","0.0-55.0-0.4","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","664.9350000079721","trial","sequential-stimulus-presentation","312","508946","0.0-55.0-1.4","SS1611940976610","","40","900","1564.9350000079721","","","","16","images/stimuli/spore_stims/complex_18_A_c.gif","middle",""
