"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","null","","html-keyboard-response","157","283657","0.0-31.0-0.2","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2000.5749999982072","trial","sequential-stimulus-presentation","158","286366","0.0-31.0-1.2","SS1612117478452","","40","700","2700.574999998207","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
"","null","","html-keyboard-response","159","287240","0.0-31.0-0.3","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1123.765000000305","trial","sequential-stimulus-presentation","160","289073","0.0-31.0-1.3","SS1612117478452","","40","700","1823.765000000305","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
"","null","","html-keyboard-response","161","290250","0.0-31.0-0.4","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","268.1350000020466","trial","sequential-stimulus-presentation","162","291227","0.0-31.0-1.4","SS1612117478452","","40","700","968.1350000020466","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
"","null","","html-keyboard-response","163","292238","0.0-31.0-0.5","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","306.05500000092434","trial","sequential-stimulus-presentation","164","293250","0.0-31.0-1.5","SS1612117478452","","40","700","1006.0550000009243","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
"","null","","html-keyboard-response","165","294145","0.0-31.0-0.6","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","256.05999999970663","trial","sequential-stimulus-presentation","166","295109","0.0-31.0-1.6","SS1612117478452","","40","700","956.0599999997066","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
"","null","","html-keyboard-response","167","296281","0.0-31.0-0.7","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","412.8949999976903","trial","sequential-stimulus-presentation","168","297400","0.0-31.0-1.7","SS1612117478452","","40","700","1112.8949999976903","","","","8","complex_dissimilar","images/stimuli/spore_stims/complex_05_B_a.gif","right","","","","",""
