subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619204697535,4,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_03_A,26675.835000001825,self_paced,first half,2,first_deviant,2,3
SS1619204697535,4,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_03_A,23323.749999981374,self_paced,first half,2,second_deviant,2,3
SS1619204697535,4,simple_dissimilar,4,background,background,simple,simple_07_A,23144.224999996368,self_paced,first half,2,background,2,3
SS1619204697535,5,complex_dissimilar,1,background,background,complex,complex_07_A,2815.9749999758787,forced_long,first half,2,background,2,4
SS1619204697535,5,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_18_A,49550.43000000296,forced_long,first half,2,first_deviant,2,4
SS1619204697535,5,complex_dissimilar,3,background,background,complex,complex_07_A,47320.56999998167,forced_long,first half,2,background,2,4
SS1619204697535,5,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_18_A,95008.67000001017,forced_long,first half,2,second_deviant,2,4
SS1619204697535,6,complex_dissimilar,1,background,background,complex,complex_04_A,35308.164999994915,self_paced,second half,1,background,2,NA
SS1619204697535,6,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_17_A,23149.700000009034,self_paced,second half,1,first_deviant,2,NA
SS1619204697535,6,complex_dissimilar,3,background,background,complex,complex_04_A,15323.784999956843,self_paced,second half,1,background,2,NA
SS1619204697535,6,complex_dissimilar,4,background,background,complex,complex_04_A,23444.344999967143,self_paced,second half,1,background,2,NA
SS1619204697535,7,simple_dissimilar,1,background,background,simple,simple_14_A,2343.330000003334,forced_long,second half,2,background,2,5
