subject,block_number,block_type,forced_exposure_time,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1646459697109,7,complex,500,memory,6,5,background,10081.5,images/stimuli/complex_11_A_a.gif,memory_background,TRUE
SS1646459697109,7,complex,500,memory,6,6,deviant,3540.10000000149,images/stimuli/complex_01_A_a.gif,memory_background,TRUE
SS1646459697109,8,simple,500,memory,4,1,background,500,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697109,8,simple,500,memory,4,2,background,4264.10000000149,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697109,8,simple,500,memory,4,3,background,2501.199999999255,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697109,8,simple,500,memory,4,4,deviant,1689.6000000014901,images/stimuli/simple_14_A_a.gif,memory_novel,TRUE
SS1646459697109,8,simple,500,memory,4,5,background,698,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697109,8,simple,500,memory,4,6,background,902.8999999985099,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697680,1,simple,500,memory,4,1,background,500,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697680,1,simple,500,memory,4,2,background,6411.5,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697680,1,simple,500,memory,4,3,background,3089.199999999255,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697680,1,simple,500,memory,4,4,deviant,3202.60000000149,images/stimuli/simple_20_A_a.gif,memory_novel,TRUE
SS1646459697680,1,simple,500,memory,4,5,background,1971.8999999985099,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697680,1,simple,500,memory,4,6,background,1208.199999999255,images/stimuli/simple_12_A_a.gif,memory_novel,TRUE
SS1646459697680,2,simple,10000,memory,2,1,background,10000,images/stimuli/simple_13_A_a.gif,memory_novel,FALSE
SS1646459697680,2,simple,10000,memory,2,2,deviant,6951.89999999851,images/stimuli/simple_04_A_a.gif,memory_background,TRUE
SS1646459697680,2,simple,10000,memory,2,3,background,1653.300000000745,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697680,2,simple,10000,memory,2,4,background,676.6999999992549,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697680,2,simple,10000,memory,2,5,background,1093.199999999255,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697680,2,simple,10000,memory,2,6,background,1091.1000000014901,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697680,3,simple,500,memory,6,1,background,500,images/stimuli/simple_15_A_a.gif,memory_novel,FALSE
SS1646459697680,3,simple,500,memory,6,2,background,4836.900000002235,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697680,3,simple,500,memory,6,3,background,2517.5,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697680,3,simple,500,memory,6,4,background,860.9000000022352,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697680,3,simple,500,memory,6,5,background,1957.6000000014901,images/stimuli/simple_15_A_a.gif,memory_background,TRUE
SS1646459697680,3,simple,500,memory,6,6,deviant,3603.300000000745,images/stimuli/simple_03_A_a.gif,memory_background,TRUE
SS1646459697680,4,simple,500,memory,2,1,background,500,images/stimuli/simple_18_A_a.gif,memory_novel,TRUE
SS1646459697680,4,simple,500,memory,2,2,deviant,4916.699999999255,images/stimuli/simple_01_A_a.gif,memory_novel,TRUE
SS1646459697680,4,simple,500,memory,2,3,background,1949.2000000029802,images/stimuli/simple_18_A_a.gif,memory_novel,TRUE
SS1646459697680,4,simple,500,memory,2,4,background,2119.599999997765,images/stimuli/simple_18_A_a.gif,memory_novel,TRUE
SS1646459697680,4,simple,500,memory,2,5,background,1108.800000000745,images/stimuli/simple_18_A_a.gif,memory_novel,TRUE
SS1646459697680,4,simple,500,memory,2,6,background,2922.800000000745,images/stimuli/simple_18_A_a.gif,memory_novel,TRUE
