session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
627370bac88fb38ca0b85cf1,611d122d1c92d4fc98c751fc,APPROVED,38:28.8,44:24.1,355.304,32,41,1,99,16:03.2,3D699F4F,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Female,DATA EXPIRED
6273754fdd9f6a4811445c52,60fba1203c2b32708cb239ef,APPROVED,57:22.3,03:36.6,374.27,29,99,4,97,16:03.2,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,Yes
627377f346c1406c0658a1fd,60cd13465a9cd7ddc88093dc,APPROVED,08:35.4,10:52.8,137.384,36,185,1,100,16:03.1,52E1F401,DATA EXPIRED,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,No
62738626e0a8c21eed2fe286,612255ee367070854bb58ee9,APPROVED,09:10.6,18:53.6,583.074,28,105,3,97,16:03.0,3D699F4F,South Africa,South Africa,Part-Time,DATA EXPIRED,South Africa,Male,No
6273893c3ae633d7c0425827,61325518505f6568d9270b24,APPROVED,22:20.9,25:44.0,203.068,23,171,2,100,16:03.0,3D699F4F,France,France,DATA EXPIRED,French,France,Female,DATA EXPIRED
6273905e5bea472f04351d7b,6135fe6b5422515fe7d11e2f,APPROVED,52:46.8,57:22.6,275.792,27,157,2,98,16:02.9,3D699F4F,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
627393861384ff04716c07c4,5f10d13957b4763f401690e5,APPROVED,09:51.0,19:07.4,556.458,38,134,1,100,16:02.8,3D699F4F,Zimbabwe,South Africa,Full-Time,DATA EXPIRED,Zimbabwe,Female,No
6273959b1d6248de7a54f40e,6117a9292caf25f40d3f1cc4,APPROVED,15:07.4,19:39.0,271.645,29,35,1,99,16:02.8,3D699F4F,Poland,Poland,Full-Time,Polish,Poland,Female,No
6273a6d9efe738c8167a92ba,611fc86152f1f70b3f8677f7,APPROVED,28:55.2,35:26.6,391.363,25,101,2,98,16:02.7,3D699F4F,Turkey,Germany,Part-Time,Turkish,Turkey,Female,Yes
6273b5a98540fe21ca525555,6130e97d4106299f8c6120fa,APPROVED,31:57.4,37:39.9,342.438,19,89,0,100,16:02.6,3D699F4F,South Africa,South Africa,Other,DATA EXPIRED,South Africa,Female,Yes
6273b9d8c276b2a704a06915,61117a9ff9b5a462cfb356d4,APPROVED,50:08.9,59:07.6,538.646,23,42,0,100,16:02.6,3D699F4F,Congo the Democratic Republic of the,South Africa,Unemployed (and job seeking),French,South Africa,Male,Yes
6273c2d4224b6e731cbe27cc,5e967287118edf0fd9824bc2,APPROVED,28:37.2,35:30.1,412.981,47,188,0,100,16:02.5,3D699F4F,Chile,Chile,Full-Time,Spanish,Chile,Female,Yes
6273d8316419031cb5d75759,613589ac6333693e1927fa76,APPROVED,59:20.0,05:27.9,367.881,38,515,4,99,16:02.4,3D699F4F,United States,United States,DATA EXPIRED,English,United States,Female,Yes
6273e9831368c59244c6d881,5d66a40c141c9800016a08a2,APPROVED,13:12.1,18:43.6,331.548,39,81,1,100,47:52.8,3D699F4F,"Venezuela, Bolivarian Republic of",Chile,Full-Time,Spanish,"Venezuela, Bolivarian Republic of",Female,Yes
627411a6b7eef595d3fead97,603fda0a4fd86b1385c5d9c8,APPROVED,04:22.1,08:21.3,239.251,20,101,0,100,47:52.8,3D699F4F,Paraguay,United Kingdom,Other,Spanish,Paraguay,Female,Yes
62741c865db7dabfcf222a8e,61347b534314b736f635bc06,APPROVED,50:57.7,58:10.2,432.467,35,91,1,99,47:52.9,3D699F4F,Nigeria,Netherlands,Part-Time,DATA EXPIRED,Nigeria,Male,No
62741d3394212f8f84ab9b8b,61202203690ecf8111f14f3e,APPROVED,53:39.0,00:19.4,400.424,33,50,0,100,47:52.9,3D699F4F,Poland,Poland,Full-Time,Polish,Poland,Male,No
6274216f9d7afc830a06a51a,6102e7127e4eb4a944af4161,APPROVED,11:43.8,19:16.2,452.347,24,60,0,100,47:53.0,3D699F4F,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
6274223068ecc7f10a3bce74,611e25b39724f47936d0dcab,APPROVED,15:12.7,22:42.2,449.527,26,80,0,100,47:53.0,3D699F4F,South Africa,South Africa,Part-Time,DATA EXPIRED,South Africa,Female,Yes
62742509d7a3c482d7306353,611f995eac60efd1117fb9e3,RETURNED,27:05.2,,952018.0484,32,25,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
627433bba2a1d48abbafd617,6123d102b713b8a947fd2eb2,APPROVED,29:55.1,34:21.0,265.92,49,1223,0,100,47:53.1,3D699F4F,United States,United States,DATA EXPIRED,English,United States,Male,No
62743a39fb016ef9232ee39d,612e160ad319376daaf8971c,APPROVED,57:31.3,02:46.7,315.394,24,89,0,100,47:53.1,3D699F4F,Poland,United Kingdom,Due to start a new job within the next month,Polish,Poland,Male,No
62750da80f30bbd3a50a4d85,5c2547cbc93fd700018435da,APPROVED,59:43.1,06:30.2,407.098,29,258,1,100,24:35.6,3D699F4F,Mexico,Mexico,Full-Time,Spanish,Mexico,Female,No
627518edf66464bfe46a05da,612652dd9b4c9f1b73fe5a97,APPROVED,47:44.6,55:10.7,446.143,31,51,2,96,24:35.7,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Male,No
627539a46fc95abe769f8dfa,61221bf809bf9884406d9d68,APPROVED,07:23.9,12:36.4,312.492,42,165,2,99,24:35.7,3D699F4F,Spain,United Kingdom,Full-Time,Spanish,Spain,Female,No
