"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"","null","html-keyboard-response","85","184891","0.0-21.0-0.2","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","140.01999999163672","sequential-stimulus-presentation-old","86","185544","0.0-21.0-1.2","SS1619739595845","trial","","40","500","640.0199999916367","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","6","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","",""
"","null","html-keyboard-response","87","186631","0.0-21.0-0.3","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","54.004999983590096","sequential-stimulus-presentation-old","88","187197","0.0-21.0-1.3","SS1619739595845","trial","","40","500","554.0049999835901","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","6","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","",""
"","null","html-keyboard-response","89","188105","0.0-21.0-0.4","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","108.20000001695007","sequential-stimulus-presentation-old","90","188728","0.0-21.0-1.4","SS1619739595845","trial","","40","500","608.2000000169501","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","6","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","",""
"","null","html-keyboard-response","91","189722","0.0-21.0-0.5","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","221.59000000101514","sequential-stimulus-presentation-old","92","190456","0.0-21.0-1.5","SS1619739595845","trial","","40","500","721.5900000010151","images/stimuli/spore_stims/simple_17_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","6","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","",""
"","2531.69999999227","survey-multi-choice","93","192992","0.0-22.0","SS1619739595845","math_question","","","","","","","","","","","","{""Q0"":""18""}","[0]","18"
"","null","html-keyboard-response","94","193895","0.0-23.0-0.0","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","183.64499998278916","sequential-stimulus-presentation-old","95","209090","0.0-23.0-1.0","SS1619739595845","trial","","40","500","683.6449999827892","images/stimuli/spore_stims/simple_16_A_b.gif","images/stimuli/spore_stims/simple_14_A_a.gif","forced_long","","7","simple_dissimilar","images/stimuli/spore_stims/simple_14_A_a.gif","","",""
"","null","html-keyboard-response","96","210256","0.0-23.0-0.1","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","1783.8749999937136","sequential-stimulus-presentation-old","97","212546","0.0-23.0-1.1","SS1619739595845","trial","","40","500","2283.8749999937136","images/stimuli/spore_stims/simple_16_A_b.gif","images/stimuli/spore_stims/simple_14_A_a.gif","forced_long","","7","simple_dissimilar","images/stimuli/spore_stims/simple_14_A_a.gif","","",""
"","null","html-keyboard-response","98","213451","0.0-23.0-0.2","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","339.98000001884066","sequential-stimulus-presentation-old","99","214296","0.0-23.0-1.2","SS1619739595845","trial","","40","500","839.9800000188407","images/stimuli/spore_stims/simple_16_A_b.gif","images/stimuli/spore_stims/simple_14_A_a.gif","forced_long","","7","simple_dissimilar","images/stimuli/spore_stims/simple_14_A_a.gif","","",""
"","null","html-keyboard-response","100","215433","0.0-23.0-0.3","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","749.7150000126567","sequential-stimulus-presentation-old","101","216687","0.0-23.0-1.3","SS1619739595845","trial","","40","500","1249.7150000126567","images/stimuli/spore_stims/simple_16_A_b.gif","images/stimuli/spore_stims/simple_14_A_a.gif","forced_long","","7","simple_dissimilar","images/stimuli/spore_stims/simple_14_A_a.gif","","",""
"","null","html-keyboard-response","102","217775","0.0-23.0-0.4","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","206.9150000170339","sequential-stimulus-presentation-old","103","218488","0.0-23.0-1.4","SS1619739595845","trial","","40","500","706.9150000170339","images/stimuli/spore_stims/simple_16_A_b.gif","images/stimuli/spore_stims/simple_14_A_a.gif","forced_long","","7","simple_dissimilar","images/stimuli/spore_stims/simple_14_A_a.gif","","",""
"","null","html-keyboard-response","104","219468","0.0-23.0-0.5","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
