subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1614809250148,11,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_14_A,387.5800003,second half,1,first_deviant,3,NA
SS1614809250148,11,simple_dissimilar,4,background,background,simple,simple_17_A,394.0399997,second half,1,background,3,NA
SS1614809317617,0,simple_dissimilar,1,background,background,simple,simple_14_B,4572.385,first half,2,background,4,6
SS1614809317617,0,simple_dissimilar,2,background,background,simple,simple_14_B,3999.505,first half,2,background,4,6
SS1614809317617,0,simple_dissimilar,3,background,background,simple,simple_14_B,11780.23,first half,2,background,4,6
SS1614809317617,0,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_11_A,17399.28,first half,2,first_deviant,4,6
SS1614809317617,0,simple_dissimilar,5,background,background,simple,simple_14_B,8538.205,first half,2,background,4,6
SS1614809317617,0,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_11_A,10603.935,first half,2,second_deviant,4,6
SS1614809317617,1,simple_similar,1,background,background,simple,simple_07_A,7947.71,first half,0,background,NA,NA
SS1614809317617,1,simple_similar,2,background,background,simple,simple_07_A,12491.885,first half,0,background,NA,NA
SS1614809317617,1,simple_similar,3,background,background,simple,simple_07_A,5383.535,first half,0,background,NA,NA
SS1614809317617,1,simple_similar,4,background,background,simple,simple_07_A,9682.005,first half,0,background,NA,NA
SS1614809317617,1,simple_similar,5,background,background,simple,simple_07_A,10791.88,first half,0,background,NA,NA
SS1614809317617,2,complex_dissimilar,1,background,background,complex,complex_15_A,5037.64,first half,2,background,4,5
SS1614809317617,2,complex_dissimilar,2,background,background,complex,complex_15_A,14862.455,first half,2,background,4,5
SS1614809317617,2,complex_dissimilar,3,background,background,complex,complex_15_A,7739.84,first half,2,background,4,5
SS1614809317617,2,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_13_B,12521.815,first half,2,first_deviant,4,5
