subject,rt,response,target,left_violation,right_violation,chosen_violation
SS1678170138750,865,f,NA,NA,NA,NA
SS1678170141747,11955,j,media/stimuli/animate_002_right.png,identity,number,number
SS1678170141747,2754,f,media/stimuli/inanimate_008_right.png,number,animacy,number
SS1678170141747,3337,j,media/stimuli/inanimate_010_left.png,identity,pose,pose
SS1678170141747,3822,j,media/stimuli/inanimate_005_right.png,number,pose,pose
SS1678170141747,5204,j,media/stimuli/animate_005_right.png,number,pose,pose
SS1678170141747,3035,j,media/stimuli/animate_002_right.png,animacy,identity,identity
SS1678170141747,2080,j,media/stimuli/animate_007_left.png,number,pose,pose
SS1678170141747,1985,f,media/stimuli/inanimate_006_right.png,pose,identity,pose
SS1678170141747,1309,j,media/stimuli/animate_004_right.png,identity,number,number
SS1678170141747,1383,j,media/stimuli/animate_004_left.png,identity,pose,pose
SS1678170141747,2012,f,media/stimuli/inanimate_010_left.png,pose,identity,pose
SS1678170141747,3856,f,media/stimuli/animate_003_right.png,number,animacy,number
SS1678170141747,4311,j,media/stimuli/inanimate_011_right.png,identity,number,number
SS1678170141747,1745,j,media/stimuli/animate_005_right.png,identity,number,number
SS1678170141747,1163,j,media/stimuli/animate_003_left.png,identity,number,number
SS1678170141747,1505,j,media/stimuli/inanimate_001_left.png,animacy,pose,pose
SS1678170141747,3963,j,media/stimuli/inanimate_005_left.png,identity,number,number
SS1678170141747,1864,f,media/stimuli/animate_009_right.png,number,identity,number
SS1678170141747,876,j,media/stimuli/inanimate_010_left.png,identity,pose,pose
SS1678170141747,1184,f,media/stimuli/inanimate_009_right.png,number,animacy,number
SS1678170141747,1213,f,media/stimuli/animate_012_right.png,pose,animacy,pose
SS1678170141747,865,j,media/stimuli/inanimate_004_left.png,animacy,number,number
SS1678170141747,1094,f,media/stimuli/animate_011_left.png,number,animacy,number
SS1678170141747,1684,j,media/stimuli/inanimate_010_right.png,animacy,identity,identity
SS1678170141747,2319,f,media/stimuli/animate_003_right.png,pose,number,pose
SS1678170141747,999,f,media/stimuli/animate_012_right.png,pose,animacy,pose
SS1678170141747,1001,j,media/stimuli/inanimate_009_left.png,identity,pose,pose
SS1678170141747,1268,f,media/stimuli/animate_010_right.png,identity,animacy,identity
SS1678170141747,864,j,media/stimuli/inanimate_012_left.png,animacy,number,number
SS1678170141747,955,j,media/stimuli/animate_011_right.png,animacy,pose,pose
SS1678170141747,1312,j,media/stimuli/animate_005_left.png,animacy,identity,identity
SS1678170141747,869,f,media/stimuli/inanimate_008_left.png,pose,animacy,pose
SS1678170141747,1345,j,media/stimuli/animate_012_right.png,animacy,identity,identity
SS1678170141747,1754,f,media/stimuli/inanimate_003_right.png,pose,number,pose
SS1678170141747,1081,f,media/stimuli/animate_007_left.png,pose,identity,pose
SS1678170141747,1497,f,NA,NA,NA,NA
SS1678170141747,824,f,media/stimuli/animate_002_left.png,pose,identity,pose
SS1678170141747,1112,f,media/stimuli/animate_001_right.png,identity,animacy,identity
SS1678170141747,969,f,media/stimuli/inanimate_012_left.png,identity,animacy,identity
SS1678170141747,718,j,media/stimuli/inanimate_010_right.png,animacy,identity,identity
SS1678170141747,692,f,media/stimuli/inanimate_010_right.png,number,animacy,number
SS1678170141747,1191,f,media/stimuli/inanimate_010_right.png,number,animacy,number
SS1678170141747,2179,f,media/stimuli/inanimate_007_right.png,pose,number,pose
SS1678170141747,1486,f,media/stimuli/inanimate_006_left.png,pose,animacy,pose
SS1678170141747,1409,j,media/stimuli/animate_003_right.png,animacy,pose,pose
SS1678170141747,1451,j,media/stimuli/animate_012_right.png,number,pose,pose
SS1678170141747,961,j,media/stimuli/inanimate_008_right.png,identity,number,number
SS1678170141747,1504,j,media/stimuli/animate_011_right.png,number,pose,pose
SS1678170141747,1164,f,media/stimuli/animate_002_left.png,pose,identity,pose
SS1678170141747,1423,f,media/stimuli/inanimate_004_left.png,pose,identity,pose
SS1678170141747,1045,f,media/stimuli/inanimate_004_right.png,pose,animacy,pose
SS1678170141747,950,f,media/stimuli/animate_005_left.png,number,animacy,number
SS1678170141747,1125,j,media/stimuli/inanimate_008_left.png,animacy,pose,pose
SS1678170141747,746,j,media/stimuli/inanimate_001_left.png,animacy,number,number
SS1678170141747,1392,j,media/stimuli/animate_010_left.png,number,pose,pose
SS1678170141747,1265,j,media/stimuli/inanimate_011_left.png,animacy,identity,identity
SS1678170141747,1225,f,media/stimuli/animate_010_left.png,number,identity,number
SS1678170141747,1681,f,media/stimuli/inanimate_004_right.png,pose,animacy,pose
